date,p,wisp_24
2006-03-01,0.294157142857143,5.69423462856967
2006-03-02,0.065035714285714,1.81183514969528
2006-03-03,0.326928571428571,5.70929872133753
2006-03-04,0.492871428571429,2.75388842406675
2006-03-05,0.680085714285714,5.15620668650215
2006-03-06,0.778207142857143,5.58391951030169
2006-03-07,0.68935,5.48380320774686
2006-03-08,0.003964285714286,1.03364032918326
2006-03-09,0.340771428571429,4.09910876493026
2006-03-10,0.640228571428571,5.18632203221844
2006-03-11,0.526985714285714,4.94676331167013
2006-03-12,0.999507142857143,6.40168755470884
2006-03-13,1,7.7771096129424
2006-03-14,0.99635,5.89664615168087
2006-03-15,0.1046,2.21693120952708
2006-03-16,0.044614285714286,0.674490783483078
2006-03-17,0.162671428571429,3.60695328198883
2006-03-18,0.113814285714286,2.41989549240585
2006-03-19,0.007185714285714,1.91568073122761
2006-03-20,0.017985714285714,0.921609769507984
2006-03-24,0.964435714285714,5.33218326238031
2006-03-25,0.047014285714286,2.73825147185389
2006-03-26,0.230078571428571,3.6055220463478
2006-03-27,0.180657142857143,3.679550164004
2006-03-28,0,1.43821733968511
2006-03-29,1,9.16878063977646
2006-03-31,0.787642857142857,6.81521031791138
2006-04-01,0.118135714285714,4.06804305883562
2006-04-02,0.150307142857143,3.52592421238176
2006-04-03,0.51375,5.10438914934288
2006-04-04,0.452264285714286,3.55044239711591
2006-04-05,0.904714285714286,6.19824835458373
2006-04-06,0.657328571428571,5.08502332010853
2006-04-07,0.16655,2.44947203948094
2006-04-08,0.199528571428571,3.58485576869202
2006-04-09,0.521992857142857,5.78956700647976
2006-04-10,0.201964285714286,5.14933790655256
2006-04-11,0.998478571428571,7.04699356973063
2006-04-12,1,6.867616277567
2006-04-13,0.882457142857143,6.55712409852587
2006-04-14,0.96925,7.84110826942183
2006-04-15,0.0127375,1.62481601568949
2006-04-16,0.322135714285714,3.83344401665379
2006-04-17,0.175635714285714,2.86864779953752
2006-04-18,0.107542857142857,1.48484989384899
2006-04-19,0.2931,4.17553427006621
2006-04-20,0.317292857142857,3.1254536241078
2006-04-21,0.011678571428571,2.34033836308115
2006-04-22,0.044507142857143,0.922152301031728
2006-04-23,0.014378571428571,2.23447692885592
2006-04-24,0,1.0425089570939
2006-04-25,0.479607142857143,3.74061766346807
2006-04-26,0,1.05774500745247
2006-04-27,0.137578571428571,2.4740046997302
2006-04-28,0.038635714285714,1.78803862885219
2006-04-29,0.417214285714286,4.25208612049524
2006-04-30,0.335757142857143,3.30897176152989
2006-05-01,0.105728571428571,0.646106850706365
2006-05-02,0.245257142857143,3.86840404916148
2006-05-03,0.108292857142857,2.79863790523095
2006-05-04,0.213971428571429,3.5176697830958
2006-05-05,0.043685714285714,3.06908660909243
2006-05-06,0.24035,5.37849135943056
2006-05-07,0.05795,4.60023538873128
2006-05-08,0,3.15428951704409
2006-05-09,0.001971428571429,1.80211624102477
2006-05-10,0.367914285714286,5.54589301321047
2006-05-11,0.265192857142857,3.39009746316634
2006-05-12,0.011621428571429,1.31412306899069
2006-05-13,0.013957142857143,2.58071317475422
2006-05-14,0.567842857142857,4.70986919819204
2006-05-15,0.008928571428571,2.08097234186235
2006-05-16,0.10695,4.00164087468781
2006-05-17,0.769778571428571,5.59940672939716
2006-05-18,0.151107142857143,3.90303346676658
2006-05-19,0.830221428571429,4.85405115192029
2006-05-20,0.151392857142857,3.37273992526777
2006-05-21,0.340485714285714,3.20548015857412
2006-05-22,0.522028571428571,6.28288293167984
2006-05-23,0.250007142857143,3.31843312821394
2006-05-24,0.280592857142857,3.38332661773186
2006-05-25,0.047328571428571,3.42810645263398
2006-05-26,0.179421428571429,5.91952058131728
2006-05-27,0.793021428571428,7.35144066667442
2006-05-28,0.511128571428571,8.23412357630684
2006-05-29,0.076335714285714,3.40629641597385
2006-05-30,0.264664285714286,4.06614799513199
2006-05-31,0.769557142857143,6.2678051797745
2006-06-01,0.136821428571429,2.88358144063544
2006-06-02,1,9.27913659144158
2006-06-03,0.598864285714286,6.349604166927
2006-06-04,0.837742857142857,6.95590297426363
2006-06-05,0.27035,4.91030468164001
2006-06-07,0.394335714285714,4.74197949889462
2006-06-08,0.276121428571429,4.39801724765591
2006-06-09,0.122421428571429,3.59288562223355
2006-06-10,0.656971428571429,6.06226710256206
2006-06-11,0,2.50141633702429
2006-06-12,0.055821428571429,3.1200766689849
2006-06-13,0.020342857142857,3.49512808602318
2006-06-14,0.081357142857143,3.26409499696355
2006-06-15,0.022092857142857,1.78616656220575
2006-06-16,0.016671428571429,2.27762571248534
2006-06-17,0.009992857142857,2.40926465220918
2006-06-18,0.116042857142857,2.96590069791318
2006-06-19,0,0.984093499132372
2006-06-20,0.0386,3.53298299405944
2006-06-21,0.034071428571429,2.79634943255304
2006-06-22,0,1.42639046908052
2006-06-23,0.210628571428571,3.15991831022871
2006-06-24,0,1.73109996711876
2006-06-25,0.472971428571429,4.07670326238011
2006-06-26,0,2.51825894600879
2006-06-27,0.065085714285714,1.45012677402876
2006-06-28,0,1.57470369788299
2006-06-29,0.214064285714286,1.77426839398894
2006-06-30,0.847042857142857,4.31188035589232
2006-07-01,0.789642857142857,6.61547810401684
2006-07-02,0.111392857142857,4.13409526031456
2006-07-03,0.051657142857143,3.08445271754496
2006-07-04,0.080964285714286,2.7705730280127
2006-07-05,0.477685714285714,4.3665814364565
2006-07-06,0.6556,4.74449788881853
2006-07-07,0.041071428571429,3.24277674122917
2006-07-08,0.124264285714286,0.586953960600159
2006-07-09,0,0.668640278831297
2006-07-10,0.055321428571429,3.0090779950516
